Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Copias
1000,Arvore Vermelho-Preto (Objetos),0.000997,4000,1000
1000,Arvore Vermelho-Preto (Inteiros),0.000996,4000,1000
5000,Arvore Vermelho-Preto (Objetos),0.003017,20000,5000
5000,Arvore Vermelho-Preto (Inteiros),0.000997,20000,5000
10000,Arvore Vermelho-Preto (Objetos),0.006985,40000,10000
10000,Arvore Vermelho-Preto (Inteiros),0.000996,40000,10000
50000,Arvore Vermelho-Preto (Objetos),0.031913,200000,50000
50000,Arvore Vermelho-Preto (Inteiros),0.005018,200000,50000
100000,Arvore Vermelho-Preto (Objetos),0.058837,400000,100000
100000,Arvore Vermelho-Preto (Inteiros),0.010008,400000,100000
500000,Arvore Vermelho-Preto (Objetos),0.292189,2000000,500000
500000,Arvore Vermelho-Preto (Inteiros),0.051895,2000000,500000
